fila,columna,tiempo
202,522,321.011
202,542,324.589
202,562,332.758
202,582,341.064
202,602,349.637
202,622,358.973
202,642,368.521
202,662,449.727
202,682,461.418
202,702,471.166
202,722,480.321
202,742,491.134
202,762,502.199
202,782,512.422
202,802,521.794
202,822,531.314
202,842,540.8
202,862,550.909
202,882,560.168
202,902,568.052
202,922,577.67
202,942,586.731
202,962,602.625
202,982,604.567
222,2,1.07195
222,22,15.6875
222,42,30.3638
222,62,40.4825
222,82,59.7292
222,102,71.3648
222,122,80.0555
222,142,89.5152
222,162,118.448
222,182,129.624
222,202,140.31
222,222,149.952
222,242,159.695
222,262,169.286
222,282,178.752
222,302,224.979
222,322,237.095
222,342,247.858
222,362,258.294
222,382,269.352
222,402,280.437
222,422,289.509
222,442,299.464
222,462,309.313
222,482,319.537
222,502,328.622
222,522,340.411
222,542,347.691
222,562,357.203
222,582,366.546
222,602,450.197
222,622,462.693
222,642,473.705
222,662,484.195
222,682,499.113
222,702,506.789
222,722,521.296
222,742,527.424
222,762,538.579
222,782,548.926
222,802,559.792
222,822,569.903
222,842,579.277
222,862,589.273
222,882,598.955
222,902,608.475
222,922,619.767
222,942,629.34
222,962,638.412
222,982,649.508
242,2,1.14535
242,22,16.6436
242,42,32.3122
242,62,42.933
242,82,63.7576
242,102,74.7303
242,122,85.2167
242,142,114.497
242,162,126.68
242,182,137.936
242,202,148.87
242,222,159.44
242,242,169.846
242,262,180.063
242,282,228.542
242,302,240.138
242,322,252.238
242,342,268.166
242,362,275.32
242,382,286.646
242,402,302.524
242,422,308.079
242,442,318.993
242,462,329.625
242,482,339.759
242,502,349.878
242,522,359.673
242,542,444.717
242,562,457.216
242,582,468.937
242,602,480.731
242,622,493.282
242,642,505.584
242,662,516.493
242,682,528.545
242,702,538.817
242,722,550.871
242,742,563.169
242,762,573.086
242,782,584.664
242,802,594.95
242,822,606.16
242,842,616.77
242,862,626.807
242,882,637.163
242,902,648.469
242,922,663.613
242,942,668.078
242,962,680.081
242,982,693.943
262,2,1.20724
262,22,17.618
262,42,34.157
262,62,45.6248
262,82,67.5972
262,102,79.1929
262,122,90.3433
262,142,121.786
262,162,134.325
262,182,146.178
262,202,164.829
262,222,169.041
262,242,180.257
262,262,229.559
262,282,242.742
262,302,255.888
262,322,267.823
262,342,280.363
262,362,292.322
262,382,303.818
262,402,315.109
262,422,326.869
262,442,338.637
262,462,349.029
262,482,360.043
262,502,446.828
262,522,458.317
262,542,475.092
262,562,485.723
262,582,498.405
262,602,510.745
262,622,523.067
262,642,535.528
262,662,552.989
262,682,561.094
262,702,577.751
262,722,584.671
262,742,597.371
262,762,608.228
262,782,626.252
262,802,631.289
262,822,646.381
262,842,654.271
262,862,664.423
262,882,676.279
262,902,687.376
262,922,698.588
262,942,708.985
262,962,720.987
262,982,735.545
282,2,1.27077
282,22,18.5801
282,42,36.09
282,62,57.57
282,82,71.552
282,102,83.5612
282,122,114.447
282,142,128.764
282,162,141.853
282,182,154.058
282,202,166.201
282,222,178.339
282,242,228.527
282,262,242.533
282,282,256.334
282,302,269.559
282,322,283.019
282,342,301.122
282,362,307.878
282,382,320.548
282,402,333.211
282,422,344.452
282,442,356.339
282,462,368.675
282,482,456.154
282,502,477.526
282,522,483.826
282,542,505.085
282,562,512.378
282,582,526.088
282,602,539.288
282,622,552.703
282,642,566.149
282,662,578.307
282,682,591.247
282,702,603.492
282,722,616.608
282,742,630.856
282,762,642.04
282,782,652.644
282,802,669.521
282,822,682.754
282,842,695.083
282,862,701.76
282,882,713.852
282,902,725.44
282,922,740.821
282,942,898.487
282,962,914.365
282,982,927.862
302,2,1.33098
302,22,19.6896
302,42,37.9549
302,62,60.922
302,82,75.0176
302,102,88.0627
302,122,120.697
302,142,135.272
302,162,148.992
302,182,162.261
302,202,175.052
302,222,225.133
302,242,240.695
302,262,255.696
302,282,270.629
302,302,284.161
302,322,297.908
302,342,310.853
302,362,323.796
302,382,337.583
302,402,349.762
302,422,362.817
302,442,449.627
302,462,465.457
302,482,480.176
302,502,496.116
302,522,510.382
302,542,524.872
302,562,540.114
302,582,555.029
302,602,567.506
302,622,581.444
302,642,596.23
302,662,608.463
302,682,623.007
302,702,635.041
302,722,648.304
302,742,663.054
302,762,674.419
302,782,687.346
302,802,702.534
302,822,715.669
302,842,725.148
302,862,737.763
302,882,907.227
302,902,916.512
302,922,932.826
302,942,948.397
302,962,963.115
302,982,977.626
322,2,1.38768
322,22,20.4198
322,42,39.8378
322,62,63.9385
322,82,78.4653
322,102,92.2485
322,122,126.749
322,142,141.819
322,162,156.132
322,182,169.933
322,202,183.515
322,222,236.285
322,242,252.296
322,262,267.983
322,282,282.866
322,302,298.089
322,322,311.885
322,342,325.814
322,362,339.113
322,382,353.476
322,402,366.729
322,422,455.958
322,442,473.533
322,462,489.452
322,482,504.319
322,502,525.345
322,522,536.001
322,542,556.678
322,562,566.163
322,582,580.951
322,602,595.658
322,622,609.046
322,642,624.502
322,662,637.696
322,682,651.355
322,702,665.056
322,722,680.131
322,742,693.218
322,762,706.399
322,782,719.941
322,802,733.862
322,822,895.059
322,842,912.611
322,862,930.09
